Depth,PrunedNodes
7713776,43
13203408,106
13201808,116
8060048,31
13201840,183
8423232,31
13202608,53
8046864,63
7832088,156
13177424,273
7832664,109
8098008,63
13202032,102
7834296,59
13188240,360
13196336,70
13202320,162
8103352,63
7860608,60
8166552,31
13202288,468
8102520,31
7701680,91
13201584,201
13201424,152
7745896,126
13193456,187
13176528,60
13201136,185
7694848,63
7834200,31
13188272,236
8105952,63
13187536,248
7828440,61
13423216,63
8101240,189
7704496,5
13187920,216
8059408,15
8051440,14
7998048,89
7692192,63
7704144,20
7689832,31
13179632,393
8051504,30
13187600,109
7993952,31
7704272,2
8104024,62
13195824,109
7683680,31
13187728,328
7944864,63
8051632,22
8059824,31
13418896,63
13187760,425
8356336,63
13187984,386
13196080,195
7704560,5
8051376,7
8101304,94
7712528,89
7701936,121
13195664,62
8105856,63
13187376,359
13187952,313
7837880,6
13184656,187
7949824,63
8003456,7
13192752,93
13200592,45
7838392,7
7712936,127
13176048,93
8354320,255
7702576,11
7692136,15
8099128,31
13198128,108
7838168,12
13173648,22
13194672,91
7837688,7
8413824,63
13189904,220
7837976,12
7686824,15
13194768,78
7692896,31
8098936,126
13203184,406
13213304,15
13178576,160
13178032,301
8166200,63
7951424,63
13181840,3
7838072,15
8422496,31
13195120,153
7837112,24
13181648,22
7702032,26
13189872,441
13420912,127
7836920,7
7860032,62
7688456,31
13194704,62
13186544,93
8098712,126
8044560,63
7698816,63
7951648,91
13178128,22
7837528,12
7713128,63
13179312,482
13178160,146
7702864,31
13202832,78
13177744,182
13202224,84
7825848,63
7691528,47
13195600,141
13423312,254
7836504,24
13187440,234
8143472,31
13176464,103
7707184,60
13200944,121
13425936,190
7837016,15
13204464,107
8059440,63
7998016,31
8415264,31
13196048,78
13179856,290
7835928,24
13200816,30
8058960,63
7853952,127
7835576,30
13176240,94
7835800,7
13190736,140
13198928,175
7835704,14
8152496,63
13176176,93
7835480,28
8050896,31
8003008,15
7835192,30
7693384,60
8100536,31
13203536,56
7835512,31
7834008,55
7834520,15
7833720,53
13205008,209
13197040,124
7831032,104
13180752,144
13194480,93
13202448,138
13202064,116
7694016,63
13202480,68
7943232,444
13212568,31
8004096,127
13202256,106
13207192,127
8421696,158
13200976,138
13421856,125
7855744,40
13201616,209
7833272,140
7684104,126
13188144,186
8057296,127
13196432,46
13187856,214
7704432,15
13196368,101
7953568,94
13188208,312
7844544,15
7714896,24
13187792,188
13188176,234
7706640,58
7779768,31
7715056,27
7953408,63
7701968,151
13187408,390
8143568,63
13187632,344
8359120,63
13195920,15
7698280,31
8101368,31
13196272,30
7712592,30
7945024,31
13188048,344
7683840,63
7731176,127
13187504,251
13198672,156
7833432,7
7955744,94
8422848,15
13177488,259
7951008,59
13201968,87
7831256,52
13199792,24
7832376,15
7700496,25
7832184,60
13194352,91
13216248,31
7830488,51
8047440,70
7830552,30
7710408,63
13200048,10
7830648,114
7949024,109
13204880,115
7709104,47
7831384,73
13180208,186
8165048,31
7828472,100
7710160,24
7952864,31
7859072,122
13179216,317
7691592,48
13203216,172
13195248,46
13194224,53
13202192,162
7712520,190
13419568,31
7698024,15
13187696,172
8358832,63
13193712,109
13421136,31
13201680,216
13187568,233
7993792,62
13423184,15
13179152,232
13187472,155
13180880,74
7830904,15
13208376,127
7829816,29
13214904,63
7830104,57
8099160,127
7829912,31
7955200,63
8044784,63
7999584,15
13194608,106
7829464,62
13195184,72
8050320,92
7785112,127
7828888,31
7829144,58
13189808,62
7828696,114
13420848,190
7782264,127
13188080,201
7858496,251
13179664,285
7828504,62
7745512,127
7705424,117
8050256,31
13187664,116
13418992,63
8420768,15
8106144,127
7953088,63
8359152,127
7692424,24
13188304,347
13198448,123
13423440,31
7704816,136
7997760,63
7699752,15
7710096,229
7784696,63
7842688,127
8108544,63
8108384,63
8056336,125
13184816,78
13193104,78
8108448,63
13208120,127
8108128,63
8107136,127
13196880,171
7682688,127
8108416,15
13201168,45
8056496,31
13193200,109
8416288,63
