Node Name,Lower Bound,Completion Time,Unassigned Count,Unassigned Parts
Root_T1_0,51.680096,27.177760,4,"1;2;3;4"
Root_T1_1,31.407360,12.229600,4,"0;2;3;4"
Root_T1_2,24.203680,5.025920,4,"0;1;3;4"
Root_T1_3,27.991328,8.813568,4,"0;1;2;4"
Root_T1_4,26.899968,7.722208,4,"0;1;2;3"
